label,Kingdom,Phylum,Class,Order,Family,Genus
Sinorhizobium fredii,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium
Pseudomonas aeruginosa,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Achromobacter cycloclastes,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
Rhizobium sp. D262a,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium
Sinorhizobium sp. strain DWY-1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium
Rhizobiales bacterium N21,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,unclassified Hyphomicrobiales,Rhizobiales
Bradyrhizobium sp. GSM-467,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium
Thauera aminoaromatica,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera
Ramlibacter tataouinensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter
Bradyrhizobium diazoefficiens,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium
Rubrivivax gelatinosus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Rubrivivax