Well,Sample.x,Cq_nosZ,Cq_Mean_nosZ,,Cq_16S,Cq_Mean_16S,,ratio,avg_ratio,sd_ratio,,,,std_dev_nosZ,std_dev_16S
B04,ktbn,31.91463109,30.89457519,-1.020055906,29.12436025,27.17265985,-1.951700405,1.360290853,1.066131054,0.417630956,,,,0.890820862,1.879985639
B05,ktbn,30.49933517,30.89457519,0.395240017,25.37370871,27.17265985,1.798951138,0.588115927,,,,,,0.890820862,1.879985639
B06,ktbn,30.2697593,30.89457519,0.624815889,27.01991058,27.17265985,0.152749267,1.249986382,,,,,,0.890820862,1.879985639
B07,ktan,32.12198149,,-1.2274063,29.02102871,,-1.848368865,1.188688991,0.913492169,0.389187078,,,,0.87861045,0.437122967
B08,ktan,33.3645243,,-2.469949115,28.87368474,,-1.701024889,0.638295347,,,,,,0.87861045,0.437122967
B10,ktbw,31.04951525,29.78114047,-1.268374781,25.02039264,26.71587082,1.695478178,0.288045923,2.131239691,2.606669624,,,,1.793752817,1.890223094
B12,ktbw,28.51276569,29.78114047,1.268374781,28.75397064,26.71587082,-2.038099813,3.974433458,,,,,,1.793752817,1.890223094
C01,ktaw,28.36944457,,1.411695901,21.66950214,,5.046368681,0.258816583,0.24219241,0.143425443,,,,1.575025944,0.063139031
C02,ktaw,27.62571571,,2.155424759,21.76486611,,4.951004712,0.376581358,,,,,,1.575025944,0.063139031
C03,ktaw,30.64848012,,-0.867339652,21.64549803,,5.070372794,0.091179289,,,,,,1.575025944,0.063139031
C04,kybn,25.2033409,25.16864439,-0.034696518,20.95199251,20.8401787,-0.111813815,1.028805555,1.002757332,0.089887469,,,,0.17105215,0.427897994
C05,kybn,25.31968838,25.16864439,-0.151043996,21.20106904,20.8401787,-0.360890341,1.076743993,,,,,,0.17105215,0.427897994
C06,kybn,24.98290387,25.16864439,0.185740515,20.36747454,20.8401787,0.472704156,0.902722448,,,,,,0.17105215,0.427897994
C07,kyan,24.53121362,,0.637430769,20.21183087,,0.628347827,1.041973697,1.073792936,0.090909038,,,,0.022591762,0.228455374
C08,kyan,24.49098391,,0.677660475,20.0692061,,0.770972595,1.003070546,,,,,,0.022591762,0.228455374
C09,kyan,24.52891284,,0.63973155,20.51644295,,0.323735743,1.176334566,,,,,,0.022591762,0.228455374
C10,kybw,23.40263601,24.18180997,0.779173957,20.20707432,20.14012816,-0.066946161,1.462102417,1.085683983,0.532336054,,,,1.101918377,0.082442795
C12,kybw,24.96098392,24.18180997,-0.779173957,20.16526799,20.14012816,-0.025139829,0.709265549,,,,,,1.101918377,0.082442795
D01,kyaw,24.58241771,,-0.40060774,18.48314056,,1.656987598,0.433525386,0.586687661,0.350477744,,,,0.209799414,1.579877152
D02,kyaw,24.99680259,,-0.814992626,21.04527183,,-0.905143674,0.987676932,,,,,,0.209799414,1.579877152
D03,kyaw,24.84671756,,-0.664907594,18.16275437,,1.977373787,0.338860665,,,,,,0.209799414,1.579877152